"Timestamp","What is your age?","What is your gender","What group do you teach?","How willing would you be to teach via gamification?","How well do you think gamification can impact learning at school?","How well do you think schools in Dubai will adapt to gamification?","How efficiently do you think you can teach difficult content using gamification?","How well do you think the teachers at school can adapt to teaching via gamification?","What is your opinion on gamification? What are any limitations or negatives that come to mind? And do you think it should be used as a primary means of education? "
"2022/01/27 6:08:10 PM GMT+4","31-40","","Group 6: The Arts","9","9","10","8","8","Definitely a future tool but should be used as an enhancement tool in education "
"2022/01/27 6:08:26 PM GMT+4","20-30","","Group 3: Individuals and societies","9","9","5","7","7","Not all concepts and theories can be taught with gamification "
"2022/01/27 6:09:39 PM GMT+4","31-40","Female","Group 3: Individuals and societies","6","7","4","9","7","Maybe not as a primary means to education, however it could most definitely be integrated into lesson to encourage students to learn key concepts and ideas surrounding a particular topic - I believe that the limitation could potentially be that the teachers may  not be trained correctly in implementing into the classroom and if this was the case it may not work as an effective resource"
"2022/01/27 6:11:20 PM GMT+4","41-50","Male","Group 4: Sciences","9","9","7","7","7","It’s a great way to get engagement in class. Offers students an environment to apply their knowledge in an informal way"
"2022/01/27 6:11:25 PM GMT+4","20-30","Male","Group 4: Sciences","8","8","8","7","9","Limitations include students getting distracted or focusing on the idea of winning/finishing fastest rather than taking the time to understand the content
Strengths include ye ability to demonstrate difficult concepts through simulations or complete investigations and practicals when the equipment is not available "
"2022/01/27 6:15:56 PM GMT+4","31-40","Female","Group 3: Individuals and societies","10","10","9","8","7","It is an area I could use to engage a lot of my students. It would make learning far more fun and interactive. "
"2022/01/27 6:17:04 PM GMT+4","20-30","Male","Group 1: Studies in language and literature","10","10","3","7","9","I think it is a great idea which could be used in conjunction with traditional methods"
"2022/01/27 6:28:04 PM GMT+4","20-30","Female","Group 4: Sciences","7","7","8","6","5","Older teachers may struggle to use it. I don't think it should be a primary means, but do think it can supplement strategies of learning very well. "
"2022/01/27 6:46:19 PM GMT+4","31-40","Female","Group 1: Studies in language and literature","7","7","9","6","6",""
"2022/01/27 6:51:50 PM GMT+4","20-30","Male","Group 4: Sciences","7","8","8","4","5","Just that content will always be the core of education, without effectively teaching content it is almost impossible prepare for formal exams "
"2022/01/27 7:38:14 PM GMT+4","41-50","Male","Group 3: Individuals and societies","10","8","7","7","6","Gamification should provide an interesting learning experience for most students. However, excessive use of gamification could cause students to become slaves to games and distance themselves from other forms of learning. Gamification should be used appropriately side by side with the traditional means of education in order to have the most positive impact on students' lives."
"2022/01/28 6:49:19 AM GMT+4","31-40","Male","Group 4: Sciences","10","10","6","8","6",""
"2022/01/28 6:53:15 AM GMT+4","51+","Male","Group 3: Individuals and societies","10","10","","7","","Extremely helpful as a tool in a tool box. Can't be used as the only tool but anything that increases student engagement will contributing to learning has its place in a good teacher's toolbox"
"2022/01/28 7:03:45 AM GMT+4","20-30","Female","Group 5: Mathematics","9","9","8","7","7","Gamification is extremely useful in boosting student engagement. It presents work in a 'fun' way that makes students want to participate. It does, however, not always lend itself to more complicated topics or answers that require longer written responses. Therefore I am not sure that it can be the primary means of education, but it can be a very useful addition to teaching methods."
"2022/01/28 7:13:59 AM GMT+4","31-40","Female","Group 2: Language acquisition","10","10","8","8","8","Gamification is great as a starter and to keep students motivated and engaged in learning. Thank you. "
"2022/01/28 7:15:23 AM GMT+4","20-30","Female","Group 4: Sciences","8","7","9","7","6","I think it takes control away from the teacher, so teachers that find classroom management difficult would find it really hard to implement games into their lessons. I definitely would not recommend it as a primary means, but I think as a starter/ plenary to the lesson, it would work well."
"2022/01/28 7:54:01 AM GMT+4","41-50","Female","Group 3: Individuals and societies","8","7","8","6","6","Gamification is good especially for the younger students, From grade 9, they start seeing it as a moment of relax, not as an occasion of improving their learning. So, no, I do not think it can be a primary means"
"2022/02/08 12:44:28 PM GMT+4","51+","Male","Group 3: Individuals and societies","8","9","4","9","3","I think Game Mechanics are useful learning tools. In two of my previous schools (Chafford Hundred Campus 2003 - 2006 and Barnfield South Academy 2009 - 10) I led on the implementation of Adobe Atmosphere and Second Life virtual world platforms for the purpose of improving engagement with hard to reach youngsters. I'm afraid to say that Dubai isn't especially well placed to benefit from gamification of learning experiences. Teaching and learning practices tend to be very conservative and lag far behind the kind of practice seen in for instance, Finland or Estonia. "
